EEDP20008,半導體元件及物理,3,陳俐吟,,1,610,奈米科學及工程學士學位學程,選修,111-2-515418,zh-tw
EEDP20003,光電工程專題(二),0,光電系,,1,514,光電工程學系,必修,111-2-515420,zh-tw
EEDP20004,光電工程專題(四),0,光電系,,1,514,光電工程學系,必修,111-2-515421,zh-tw
EEDP20006,光電跨域專題(二),1,光電系,,1,514,光電工程學系,必修,111-2-515422,zh-tw
EEEO30129,智慧光源科技與半導體實作,3,朱振甫,,3,514,光電工程學系,選修,111-2-535400,zh-tw
EEEO30063,深度學習基礎概論,3,李正匡,,3,514,光電工程學系,選修,111-2-535402,zh-tw
EEEO30065,物理光學,3,張祐嘉,,3,514,光電工程學系,必修,111-2-535403,zh-tw
EEEO30073,矽基液晶光學系統設計與實作,3,陳皇銘,,3,514,光電工程學系,選修,111-2-535406,zh-tw
EEEO30013,光學系統導論,3,安惠榮,,4,503,光電博士學位學程,選修,111-2-535407,en-us
EEEO30098,近場光學與光學超解析技術,3,高宗聖,,3,514,光電工程學系,選修,111-2-535408,zh-tw
EEEO30026,光電物理中之數值方法導論,3,賴英杰,,3,514,光電工程學系,選修,111-2-535409,zh-tw
EEEO30114,電子薄膜物理與製程技術,3,劉柏村,,3,580,前瞻半導體研究所,選修,111-2-535410,zh-tw
EEEO30056,有機電子元件與光電元件,3,陳方中,,3,514,光電工程學系,選修,111-2-535411,zh-tw
EEEO30094,超穎材料電磁學導論,3,施閔雄、張書維,,3,514,光電工程學系,選修,111-2-535412,zh-tw
EEEO30074,神經光子學,3,孫家偉,,3,515,生醫工程研究所,選修,111-2-535413,zh-tw
EEEO30080,繞射光學,3,陳政寰,,3,514,光電工程學系,選修,111-2-535414,zh-tw
EEEO30044,奈米光電元件技術,3,郭浩中,,3,580,前瞻半導體研究所,選修,111-2-535415,zh-tw
EEEO30087,視覺與生理光學,3,陳政寰,,3,514,光電工程學系,選修,111-2-535416,zh-tw
EEEO30049,平面顯示器概論,3,陳伯綸,,3,514,光電工程學系,選修,111-2-535417,zh-tw
EEEO30066,物理數學,3,陳智弘,,3,514,光電工程學系,選修,111-2-535418,zh-tw
EEEO30100,量子光學導論,3,吳致盛,,4,503,光電博士學位學程,選修,111-2-535419,en-us
EEEO30038,半導體雷射二極體,3,黃嘉彥,,3,514,光電工程學系,選修,111-2-535420,zh-tw
EEEO30131,雷射二極體設計與實務,3,盧廷昌,,3,580,前瞻半導體研究所,選修,111-2-535421,zh-tw
EEEO30130,智慧醫電概論,3,孫家偉、林慶波、吳育德、唐高駿、林峻立、陳冠宇、冉曉雯、張立鴻、賴穎暉、陳榮治、李博仁、林子恩、陳俐吟、江柏翰,,3,301,神經科學研究所,選修,111-2-535422,zh-tw
EEEO30133,現代光譜技術,3,陳姿伶,,4,503,光電博士學位學程,選修,111-2-535423,en-us
EEEO30132,電控液晶光電元件,3,林怡欣,,3,514,光電工程學系,選修,111-2-535424,zh-tw
EEEC20101,類比積體電路導論,3,洪崇智,,1,610,奈米科學及工程學士學位學程,選修,111-2-515114,zh-tw
EEEC20104,類比積體電路實驗,3,柯明道,,1,511,電機工程學系,選修,111-2-515115,zh-tw
EEEC20082,離散數學,3,趙家佐,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-2-515116,zh-tw
EEEC20080,醫學工程導論,3,黃薇蓁,,1,511,電機工程學系,選修,111-2-515117,zh-tw
EEEC20105,機器學習導論,3,王聖智,,1,511,電機工程學系,選修,111-2-515118,zh-tw
EEEC20056,複變函數,3,林國瑞,,1,610,奈米科學及工程學士學位學程,選修,111-2-515119,zh-tw
EEEC20040,數據通訊,3,李佳翰,,1,511,電機工程學系,選修,111-2-515120,zh-tw
EEEC10005,數位實驗,3,陳建安,,1,511,電機工程學系,必修,111-2-515121,zh-tw
EEEC20039,數位電路與系統,3,張添烜,,1,610,奈米科學及工程學士學位學程,選修,111-2-515122,zh-tw
EEEC20034,數位訊號處理導論,3,劉志尉,,1,511,電機工程學系,選修,111-2-515123,zh-tw
EEEC20036,數位訊號處理晶片實驗,3,冀泰石,,1,511,電機工程學系,選修,111-2-515124,zh-tw
EEEC20046,演算法導論,3,余俊宏,,1,511,電機工程學系,選修,111-2-515125,zh-tw
EEEC20085,電機資訊跨領域專題(二),2,電機系,,1,511,電機工程學系,選修,111-2-515126,zh-tw
EEEC20087,電機工程專題 (一),2,電機系,,1,511,電機工程學系,選修,111-2-515128,zh-tw
EEEC20090,電機工程專題(二),2,電機系,,1,511,電機工程學系,選修,111-2-515129,zh-tw
EEEC20089,電機工程專題(三),2,電機系,,1,511,電機工程學系,選修,111-2-515130,zh-tw
EEEC20088,電機工程專題 (四),2,電機系,,1,511,電機工程學系,選修,111-2-515131,zh-tw
EEEC20065,跨領域專題(一),1,電機系,,1,511,電機工程學系,選修,111-2-515132,zh-tw
EEEC20068,跨領域專題(二),1,電機系,,1,511,電機工程學系,選修,111-2-515133,zh-tw
EEEC20106,電子設計自動化演算法與實作,3,陳宏明、趙家佐,,1,511,電機工程學系,選修,111-2-515147,zh-tw
EEEC20092,電力工程導論,3,侯中權,,1,511,電機工程學系,選修,111-2-515148,zh-tw
EEEC20025,微算機系統與實驗,3,林錫寬,,1,511,電機工程學系,選修,111-2-515149,zh-tw
EEEC20026,微波工程導論,3,陳富強,,1,511,電機工程學系,選修,111-2-515150,zh-tw
EEEC20062,超大型積體電路導論,3,黃聖傑,,1,511,電機工程學系,選修,111-2-515151,zh-tw
EEEC20049,無線網路導論,3,林亭佑,,1,511,電機工程學系,選修,111-2-515152,zh-tw
EEEC20041,智慧機器人實驗,3,宋開泰,,1,511,電機工程學系,選修,111-2-515153,zh-tw
EEEC20072,通訊原理(二),3,伍紹勳,,1,511,電機工程學系,選修,111-2-515155,zh-tw
EEEC20072,通訊原理(二),3,簡鳳村,,1,511,電機工程學系,選修,111-2-515156,zh-tw
EEEC20071,通訊原理(一),3,陳伯寧,,1,511,電機工程學系,選修,111-2-515157,zh-tw
EEEC20078,通訊系統電腦模擬,3,吳卓諭,,1,511,電機工程學系,選修,111-2-515158,zh-tw
EEEC20107,混合信號積體電路導論,3,陳佳宏,,1,511,電機工程學系,選修,111-2-515159,zh-tw
EEEC20027,控制實驗,3,王宜楷,,1,511,電機工程學系,選修,111-2-515160,zh-tw
EEEC20030,控制系統設計,3,吳炳飛,,1,511,電機工程學系,選修,111-2-515161,zh-tw
EEEC10041,專題演講,1,譚至善,,1,511,電機工程學系,必修,111-2-515162,zh-tw
EEEC20021,射頻電路原理與實驗,3,紀佩綾,,1,511,電機工程學系,選修,111-2-515163,zh-tw
EEEC20057,計算機組織,3,賴伯承,,1,511,電機工程學系,選修,111-2-515164,en-us
EEEC10021,近代物理導論,3,曾銘綸,,1,511,電機工程學系,選修,111-2-515165,zh-tw
EEEC10020,近代生物學(二),3,梁美智、高智飛、黃植懋,"跨院基本素養(106),領域課程-社會中的科技與自然(110)",1,511,電機工程學系,選修,111-2-515166,zh-tw
EEEC10008,物件導向程式設計,3,王學誠,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-2-515167,zh-tw
EEEC10008,物件導向程式設計,3,黃紹華,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-2-515168,zh-tw
EEEC10008,物件導向程式設計,3,溫宏斌,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-2-515169,zh-tw
EEEC10008,物件導向程式設計,3,蔡中庸,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-2-515170,zh-tw
EEEC10008,物件導向程式設計,3,蔡中庸,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-2-515171,zh-tw
EEEC10008,物件導向程式設計,3,劉建男,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-2-515172,zh-tw
EEEC00001,服務學習 (一),0,陳福川,,1,511,電機工程學系,必修,111-2-515173,zh-tw
EEEC00001,服務學習 (一),0,陳福川,,1,511,電機工程學系,必修,111-2-515174,zh-tw
EEEC10042,固態物理(一),3,簡昭欣,,1,610,奈米科學及工程學士學位學程,選修,111-2-515175,zh-tw
EEEC20044,材料科學導論,3,黃薇蓁,,1,511,電機工程學系,選修,111-2-515176,zh-tw
EEEC00005,生涯規劃與導師時間,0,劉建男,教育學程(87),1,511,電機工程學系,必修,111-2-515178,zh-tw
EEEC20015,半導體基礎理論,3,連德軒,,1,610,奈米科學及工程學士學位學程,選修,111-2-515179,zh-tw
EEEC20013,半導體元件物理,3,李佩雯,,1,610,奈米科學及工程學士學位學程,選修,111-2-515180,zh-tw
EEEC20006,人本計算實驗,3,帥宏翰、柯立偉、王傑智、王蒞君,,1,511,電機工程學系,選修,111-2-515181,zh-tw
EEEC20004,VLSI實驗,3,黃聖傑,,1,511,電機工程學系,選修,111-2-515182,zh-tw
EEEC10001,JAVA程式設計,3,蔡中庸,,1,511,電機工程學系,選修,111-2-515183,zh-tw
EEEC10023,邏輯設計,3,林顯易,,1,610,奈米科學及工程學士學位學程,選修,111-2-515184,zh-tw
EEEC20001,AI無線通訊系統實驗,3,方凱田、伍紹勳、黃昱智,,1,511,電機工程學系,選修,111-2-515185,zh-tw
EEEC20024,嵌入式系統技術實驗,3,郭峻因,,1,511,電機工程學系,選修,111-2-515199,zh-tw
EECN30062,嵌入式作業系統,3,黃育綸,,3,605,機器人碩士學位學程,選修,111-2-535314,zh-tw
EECM30064,深度學習,3,簡仁宗,,3,505,人工智慧技術與應用碩士學位學程,選修,111-2-535361,zh-tw
SESE20073,專題實作,0,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910000,zh-tw
SESE10225,系統程式,3,林政寬,,1,951,系統工程與科技學士學位學程,選修,111-2-910001,zh-tw
SESE00125,陶瓷材料,3,楊朝堯,,1,951,系統工程與科技學士學位學程,選修,111-2-910002,zh-tw
SESE10226,新興工程概論,3,黃衍佐,,1,951,系統工程與科技學士學位學程,選修,111-2-910003,zh-tw
SESE10227,營建工程管理,3,高明秀,,1,951,系統工程與科技學士學位學程,必修,111-2-910004,en-us
SESE10228,衛星科技與應用,3,魏世昕,,1,951,系統工程與科技學士學位學程,選修,111-2-910005,zh-tw
SESE10229,數值方法,3,紀虹名,,1,951,系統工程與科技學士學位學程,選修,111-2-910006,zh-tw
SESE10157,電子學(2),3,談光雄,,1,951,系統工程與科技學士學位學程,必修,111-2-910007,zh-tw
SESE10045,應用力學-動力學,3,金大仁,,1,951,系統工程與科技學士學位學程,必修,111-2-910008,zh-tw
SESE10231,工程數學(2),3,曾煜輝,,1,951,系統工程與科技學士學位學程,必修,111-2-910009,zh-tw
SESE10015,地形學,3,史天元,,1,951,系統工程與科技學士學位學程,選修,111-2-910010,zh-tw
SESE00093,微積分(2),4,蘇承芳,,1,951,系統工程與科技學士學位學程,必修,111-2-910011,zh-tw
SESE10055,普通物理(2),3,杜建明,,1,951,系統工程與科技學士學位學程,必修,111-2-910012,zh-tw
SESE10232,基礎科學講座與實驗(2),0,劉宗哲,,1,951,系統工程與科技學士學位學程,必修,111-2-910013,zh-tw
SESE00027,微積分輔導(2),0,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910014,zh-tw
SESE00037,普通物理輔導(2),0,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910015,zh-tw
SESE00049,程式語言輔導,0,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910016,zh-tw
SESE00126,中級英文(2),2,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910017,zh-tw
SESE00052,英文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910018,zh-tw
SESE10185,工程倫理,2,張德仁,,1,951,系統工程與科技學士學位學程,必修,111-2-910019,zh-tw
SESE10041,心理學,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910020,zh-tw
SESE00126,中級英文(2),2,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910021,zh-tw
SESE10041,心理學,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910022,zh-tw
SESE00126,中級英文(2),2,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910023,zh-tw
SESE10041,心理學,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910024,zh-tw
SESE00126,中級英文(2),2,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910025,zh-tw
SESE10041,心理學,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910026,zh-tw
SESE00126,中級英文(2),2,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910027,zh-tw
SESE10146,軍事倫理學,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910028,zh-tw
SESE10146,軍事倫理學,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910029,zh-tw
SESE10009,哲學概論,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910030,zh-tw
SESE00126,中級英文(2),2,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910031,zh-tw
SESE10009,哲學概論,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910032,zh-tw
SESE00001,中國現代史(含國軍建軍史),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910033,zh-tw
SESE00018,大陸問題研究,3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910034,zh-tw
SESE00001,中國現代史(含國軍建軍史),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910035,zh-tw
SESE00018,大陸問題研究,3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910036,zh-tw
SESE00001,中國現代史(含國軍建軍史),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910037,zh-tw
SESE00018,大陸問題研究,3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910038,zh-tw
SESE00018,大陸問題研究,3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910039,zh-tw
SESE10243,普通物理實驗(2),2,尤懷德,,1,951,系統工程與科技學士學位學程,必修,111-2-910040,zh-tw
SESE00052,英文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910041,zh-tw
SESE00093,微積分(2),4,張仁煦,,1,951,系統工程與科技學士學位學程,必修,111-2-910042,zh-tw
SESE00014,國文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910043,zh-tw
SESE00040,法學概論 ,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910044,zh-tw
SESE10106,程式語言概論,1,張凱威,,1,951,系統工程與科技學士學位學程,必修,111-2-910045,zh-tw
SESE00093,微積分(2),4,曾有志,,1,951,系統工程與科技學士學位學程,必修,111-2-910046,zh-tw
SESE10243,普通物理實驗(2),2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910047,zh-tw
SESE00052,英文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910048,zh-tw
SESE00040,法學概論 ,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910049,zh-tw
SESE00014,國文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910050,zh-tw
SESE10106,程式語言概論,1,張凱威,,1,951,系統工程與科技學士學位學程,必修,111-2-910051,zh-tw
SESE10055,普通物理(2),3,尤懷德,,1,951,系統工程與科技學士學位學程,必修,111-2-910052,zh-tw
SESE00040,法學概論 ,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910053,zh-tw
SESE10106,程式語言概論,1,張凱威,,1,951,系統工程與科技學士學位學程,必修,111-2-910054,zh-tw
SESE10243,普通物理實驗(2),2,賴渝翔,,1,951,系統工程與科技學士學位學程,必修,111-2-910055,zh-tw
SESE00014,國文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910056,zh-tw
SESE00052,英文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910057,zh-tw
SESE00093,微積分(2),4,張枝成,,1,951,系統工程與科技學士學位學程,必修,111-2-910058,zh-tw
SESE00040,法學概論 ,2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910059,zh-tw
SESE10106,程式語言概論,1,張凱威,,1,951,系統工程與科技學士學位學程,必修,111-2-910060,zh-tw
SESE00014,國文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910061,zh-tw
SESE00052,英文(2),3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910062,zh-tw
SESE10054,普通物理(1),3,鄭根發,,1,951,系統工程與科技學士學位學程,必修,111-2-910063,zh-tw
SESE10243,普通物理實驗(2),2,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910064,zh-tw
SESE00127,體育(8),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910065,zh-tw
SESE00127,體育(8),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910066,zh-tw
SESE00127,體育(8),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910067,zh-tw
SESE00127,體育(8),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910068,zh-tw
SESE00127,體育(8),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910069,zh-tw
SESE00127,體育(8),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910070,zh-tw
SESE00128,體育(6),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910071,zh-tw
SESE00128,體育(6),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910072,zh-tw
SESE00128,體育(6),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910073,zh-tw
SESE00128,體育(6),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910074,zh-tw
SESE00128,體育(6),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910075,zh-tw
SESE00128,體育(6),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910076,zh-tw
SESE00062,體育(4),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910077,zh-tw
SESE00062,體育(4),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910078,zh-tw
SESE00062,體育(4),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910079,zh-tw
SESE00062,體育(4),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910080,zh-tw
SESE00062,體育(4),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910081,zh-tw
SESE00062,體育(4),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910082,zh-tw
SESE00060,體育(2),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910083,zh-tw
SESE00060,體育(2),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910084,zh-tw
SESE00060,體育(2),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910085,zh-tw
SESE00060,體育(2),0,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910086,zh-tw
SESE00012,國防科技概論(2),3,李永隆,"校基本素養(106),領域課程-社會中的科技與自然(110)",1,951,系統工程與科技學士學位學程,選修,111-2-910087,zh-tw
SESE10113,網路技術與實務(2),3,曾建超、張凱威,,1,951,系統工程與科技學士學位學程,選修,111-2-910088,zh-tw
SESE10113,網路技術與實務(2),3,張凱威,,1,951,系統工程與科技學士學位學程,選修,111-2-910089,zh-tw
SESE10139,質能均衡,2,楊琮貿,,1,951,系統工程與科技學士學位學程,必修,111-2-910090,zh-tw
SESE20081,Python程式設計,3,系統工程,,1,951,系統工程與科技學士學位學程,選修,111-2-910091,zh-tw
SESE20218,天氣學(2),3,侯昭平,,1,951,系統工程與科技學士學位學程,必修,111-2-910092,zh-tw
SESE20083,大氣科學專題實作(4),1,蔡世樵,,1,951,系統工程與科技學士學位學程,必修,111-2-910093,zh-tw
SESE20219,天氣學實習(2),1,林永慶,,1,951,系統工程與科技學士學位學程,必修,111-2-910094,zh-tw
SESE20220,大氣動力學(2),3,蔡世樵,,1,951,系統工程與科技學士學位學程,必修,111-2-910095,zh-tw
SESE20086,災害防救整合專題實作(4),1,簡志峻,,1,951,系統工程與科技學士學位學程,必修,111-2-910096,zh-tw
SESE20096,空間科學專題實作(4),1,蔡明達,,1,951,系統工程與科技學士學位學程,必修,111-2-910097,zh-tw
SESE20087,軍事工程專題實作(4),1,張文南,,1,951,系統工程與科技學士學位學程,必修,111-2-910098,zh-tw
SESE20221,全球導航衛星系統,3,黃立信,,1,951,系統工程與科技學士學位學程,必修,111-2-910099,zh-tw
SESE20222,海洋測量學,3,崔怡楓,,1,951,系統工程與科技學士學位學程,選修,111-2-910100,zh-tw
SESE20090,智慧物聯網環境專題實作(4),1,宋欣芳,,1,951,系統工程與科技學士學位學程,必修,111-2-910101,zh-tw
SESE20223,地理資訊系統概論,3,系統工程,,1,951,系統工程與科技學士學位學程,必修,111-2-910102,zh-tw
SESE20224,軍圖製印學,3,吳憲珉,,1,951,系統工程與科技學士學位學程,必修,111-2-910103,zh-tw
SESE20094,環境資訊及工程整合專題實作(2),1,林玉菁,,1,951,系統工程與科技學士學位學程,必修,111-2-910104,zh-tw
